review_title
"Blends easily, good reaction to misting"
and you can youtube a video on how to easily convert it from Cricut to cameo
"Too small, hard to use"
"Lightweight, ergonomic and powerful heat"
"Highly recommended, even if you have the RG or MG"
"Tiny, but it sizzles"
"Super soft, durable, good color. Great price!"
"Cute, but flimsy"
"The glow is great, but..."
"Smooth, lightweight, warm hooks, Very nice to work with"
Great clips. Great size.
"Great size, very sharp"
"Um, what they sent me were black rubber dots, not sandpaper"
"Bigger format, easy, no extra hardware to buy."
"Tiny tank, tiny parts :)"
"Iron Blooded Orphans, yet another good design"
"Great variety, good quality designs, stylish"
"Very useful, good quality"
"fun, but work..."
"Bright, opaque, beautiful transparency. Lovely set!"
"The shimmer is a mess! It is so light, when spraying with water, it goes into the AIR"
"Works well, takes some time to get them started."
"Nice, shiny glaze!"
"Fun and easy for kids and adults, looks amazing"
"Good machine, clean cuts, easy to get started, like the scanning/direct cut capabilities"
"Sharp, cuts great!"
"Pretty, but not very sticky"
Deal - but use caution opening!
"Perfect, made very well, easy to use, comfortable and I love having them!"
MUCH smaller than the photo leads you to believe!
"Love, love this stabilizer!"
"POOR, poor quality"
"Light, easy and accurate"
"Worked one time,  then continued to jam and break needles."
"Its ok, but questionable quality"
"Lots of buttons, great variety"
"nice album, highly recommend, would purchase again"
These are great clips!
